year,month,country,region,avg_temp_c,precipitation_mm,air_quality_index,uv_index,malaria_cases,dengue_cases,population_density,healthcare_budget,data_type,malaria_lag_1,malaria_lag_2,dengue_lag_1,dengue_lag_2,rainfall_lag_1,temp_lag_1,quarter,log_malaria,log_dengue
2020,3,Burkina Faso,West,39.83432548074181,153.1538463264622,45.92995565556159,12.0,34275,1827,380,2861,real,33633.0,25843.0,1704.0,1635.0,91.4176378359592,38.82602748895047,1,10.442200679789009,7.510977752014095
2020,4,Burkina Faso,West,38.714310318103486,176.76596525102784,24.54207947711097,12.0,47696,1873,380,2861,real,34275.0,33633.0,1827.0,1704.0,153.1538463264622,39.83432548074181,2,10.772623781816819,7.535830462798367
2020,5,Burkina Faso,West,36.248977082187245,157.56199340896407,33.10721287117508,12.0,43367,1896,380,2861,real,47696.0,34275.0,1873.0,1827.0,176.76596525102784,38.714310318103486,2,10.677477120940175,7.5480289699350145
2020,6,Burkina Faso,West,30.64242700414901,191.90403008810176,25.336045031306497,12.0,42419,1750,380,2861,real,43367.0,47696.0,1896.0,1873.0,157.56199340896407,36.248977082187245,2,10.655375228118674,7.467942332285852
2020,7,Burkina Faso,West,30.8391801360634,294.86780906755007,20.10533304052879,12.0,37511,2061,380,2861,real,42419.0,43367.0,1750.0,1896.0,191.90403008810176,30.64242700414901,3,10.532416160769422,7.631431664576906
2020,8,Burkina Faso,West,22.30862410874441,212.7922368477444,29.751406892255304,11.069657213525389,56110,2131,380,2861,real,37511.0,42419.0,2061.0,1750.0,294.86780906755007,30.8391801360634,3,10.935087150721298,7.664815785285735
2020,9,Burkina Faso,West,23.12347666016254,150.91475731465746,33.16023678776294,12.0,49179,2098,380,2861,real,56110.0,37511.0,2131.0,2061.0,212.7922368477444,22.30862410874441,3,10.803242315770184,7.649216319820633
2020,10,Burkina Faso,West,19.455536559994087,117.71162922327564,10.113765111225916,12.0,52438,2310,380,2861,real,49179.0,56110.0,2098.0,2131.0,150.91475731465746,23.12347666016254,4,10.86740586828315,7.745435610274381
2020,11,Burkina Faso,West,23.732026341985048,151.4308394653817,11.01194735657046,12.0,31830,1635,380,2861,real,52438.0,49179.0,2310.0,2098.0,117.71162922327564,19.455536559994087,4,10.36819593668493,7.400009517162692
2020,12,Burkina Faso,West,30.80798850575421,193.92044918505167,23.98578081176416,12.0,32159,1586,380,2861,real,31830.0,52438.0,1635.0,2310.0,151.4308394653817,23.732026341985048,4,10.378478723292902,7.369600720526409
2021,1,Burkina Faso,West,35.46429517846743,116.33645752716843,0.0,12.0,32894,1231,380,2861,real,32159.0,31830.0,1586.0,1635.0,193.92044918505167,30.80798850575421,1,10.401075949520099,7.116394144093465
2021,2,Burkina Faso,West,37.99686403735301,135.6044447478909,28.939653244601587,12.0,30032,1376,380,2861,real,32894.0,32159.0,1231.0,1586.0,116.33645752716843,35.46429517846743,1,10.310052056087594,7.227662498728655
2021,3,Burkina Faso,West,38.26579746545654,285.98224414512487,0.0,12.0,35124,1746,380,2861,real,30032.0,32894.0,1376.0,1231.0,135.6044447478909,37.99686403735301,1,10.466668406636046,7.465655310134056
2021,4,Burkina Faso,West,38.020978609879,108.22723336023395,10.00522817096578,12.0,37017,1991,380,2861,real,35124.0,30032.0,1746.0,1376.0,285.98224414512487,38.26579746545654,2,10.519159559816663,7.596894438144544
2021,5,Burkina Faso,West,36.86753828246706,205.66152028987364,0.0,12.0,33862,1693,380,2861,real,37017.0,35124.0,1991.0,1746.0,108.22723336023395,38.020978609879,2,10.4300782518805,7.434847875211999
2021,6,Burkina Faso,West,31.775066131365712,225.7346059986907,38.44106845497171,12.0,46260,2204,380,2861,real,33862.0,37017.0,1693.0,1991.0,205.66152028987364,36.86753828246706,2,10.742054552499475,7.6984827878809465
2021,7,Burkina Faso,West,26.789530407322864,309.5061823532211,32.311248601024886,12.0,51549,2344,380,2861,real,46260.0,33862.0,2204.0,1693.0,225.7346059986907,31.775066131365712,3,10.850307489445106,7.76004068088038
2021,8,Burkina Faso,West,22.865870664307995,234.6820408624606,71.89611574414555,11.561738287759033,50211,2587,380,2861,real,51549.0,46260.0,2344.0,2204.0,309.5061823532211,26.789530407322864,3,10.8240093209381,7.858640655620791
